incident_datetime,latitude,longitude,endlatitude,endlongitude,event_type,event_cause,veh_type,closure,closure_probability,impact_score,impact_class,corridor,zone,police_station,priority,authenticated,hour,dayofweek,month,is_weekend,is_peak_hour,requires_road_closure,response_priority,diversion_strategy,eta_target
2024-03-07 17:01:48.111000+00:00,13.0400041,77.5180991,0.0,0.0,unplanned,vehicle_breakdown,lcv,0,0.030297291580461815,42.52028282977977,Low,tumkur road,west zone 1,peenya,High,1,17.0,3.0,3.0,0,1,False,Normal,Traffic Monitoring Only,30 mins
2024-01-30 04:07:24.173000+00:00,12.9218755,77.6451585,0.0,0.0,unplanned,vehicle_breakdown,heavy_vehicle,0,0.09969825244347166,41.48401853411364,Low,orr east 1,south zone 2,hsr layout,High,1,4.0,1.0,1.0,0,0,False,Normal,Traffic Monitoring Only,30 mins
2023-11-11 06:18:03.343000+00:00,12.955622,77.5857083,0.0,0.0,unplanned,others,Unknown,0,0.372437815360122,45.2708369047333,Medium,non-corridor,central zone 2,wilson garden,Low,1,6.0,5.0,11.0,1,0,False,High,Traffic Monitoring Only,15 mins
2024-03-07 17:56:55.061000+00:00,13.0061469,77.5794348,13.0062394,77.5795156,unplanned,tree_fall,Unknown,1,0.9697700554272726,70.92134295741421,High,non-corridor,west zone 2,sadashivanagar,Low,1,17.0,3.0,3.0,0,1,True,Immediate,Full Diversion Required,5 mins
2024-01-30 04:56:32.348000+00:00,12.95398,77.5852333,0.0,0.0,unplanned,vehicle_breakdown,private_bus,0,0.2687463580042258,52.5208369047333,Medium,non-corridor,central zone 2,wilson garden,Low,1,4.0,1.0,1.0,0,0,False,High,Traffic Monitoring Only,15 mins
2023-11-28 03:07:27.292421+00:00,13.0664854,77.5998755,13.0664854,77.5998755,unplanned,accident,Unknown,0,0.03973200863678512,47.82286067962032,Medium,non-corridor,north zone 1,hebbala,Low,1,3.0,1.0,11.0,0,0,False,High,Traffic Monitoring Only,15 mins
2024-01-30 07:26:26.739000+00:00,12.9328703,77.4879814,0.0,0.0,unplanned,vehicle_breakdown,bmtc_bus,0,0.20572774657113305,52.255815043832875,Medium,non-corridor,west zone 1,kengeri,Low,1,7.0,1.0,1.0,0,0,False,High,Traffic Monitoring Only,15 mins
2024-01-30 06:05:59.339000+00:00,12.973175,77.6003961,0.0,0.0,unplanned,others,Unknown,0,0.44960534789643974,51.766915336105846,Medium,non-corridor,central zone 2,cubbon park,Low,1,6.0,1.0,1.0,0,0,False,High,Partial Diversion Recommended,15 mins
2024-01-30 05:25:50.078000+00:00,13.0373543,77.6540442,0.0,0.0,unplanned,vehicle_breakdown,lcv,0,0.19230900684149388,42.04280369956334,Low,non-corridor,north zone 1,hennuru,Low,1,5.0,1.0,1.0,0,0,False,Normal,Traffic Monitoring Only,30 mins
2024-03-07 18:01:40.182000+00:00,13.0008457,77.6813712,0.0,0.0,unplanned,water_logging,Unknown,0,0.01588048855815966,46.542237110651406,Medium,orr east 2,east zone 2,k.r. pura,High,1,18.0,3.0,3.0,0,1,False,High,Traffic Monitoring Only,15 mins
